task_id,base_task_id,family,source_benchmark,source_commit,scenario,regime,seed,model,system,task_hash,policy_hash,tool_schema_hash,effect_schema_hash,terminal_equivalence_hash,target_id,alternate_target_id,user_goal,policy_obligation,contract_artifact_hash,source_native_id,source_path,source_hash,native_instruction,expected_action_names,expected_actions_hash,adapter_status
tau_airline_000:FULL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,FULL,13,mistral_small_3_2_24b_local,BASE,3d88fcf7349783b2,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:FULL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,FULL,13,qwen3_6_35b_a3b_local,BASE,3d88fcf7349783b2,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:FULL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,FULL,13,gemma3_27b_it_local,BASE,3d88fcf7349783b2,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:FULL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,FULL,13,llama3_3_70b_awq_local,BASE,3d88fcf7349783b2,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:SNOWBALL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,SNOWBALL,13,mistral_small_3_2_24b_local,BASE,af8e55a65105b107,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:SNOWBALL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,SNOWBALL,13,qwen3_6_35b_a3b_local,BASE,af8e55a65105b107,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:SNOWBALL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,SNOWBALL,13,gemma3_27b_it_local,BASE,af8e55a65105b107,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:SNOWBALL:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,SNOWBALL,13,llama3_3_70b_awq_local,BASE,af8e55a65105b107,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:MEMORY_REVISE:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,MEMORY_REVISE,13,mistral_small_3_2_24b_local,BASE,000bf59604c211f6,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
tau_airline_000:MEMORY_REVISE:s13,tau_airline_000,tau_airline,tau-bench-airline,59a200c6d575d595120f1cb70fea53cef0632f6b,name_typo_edit,MEMORY_REVISE,13,qwen3_6_35b_a3b_local,BASE,000bf59604c211f6,5154c47ddf881217,ab3b9213956d0555,a1ce53fba4a968b9,bc0543bf84ba841e,tau-000,tau-alt-000,Handle the airline name_typo_edit for reservation tau-000.,confirm_target_before_write,c816708f351da137,tau-bench:airline:0,effectbench_omega/upstreams/tau-bench/tau_bench/envs/airline/tasks.py,4717e1308b96ff88,"Your user id is mia_li_3668. You want to fly from New York to Seattle on May 20 (one way). You do not want to fly before 11am est. You want to fly in economy. You prefer direct flights but one stopover also fine. If there are multiple options, you prefer the one with the lowest price. You have 3 baggages. You do not want insurance. You want to use your two certificates to pay. If only one certificate can be used, you prefer using the larger one, and pay the rest with your 7447 card. You are reactive to the agent and will not say anything that is not asked. Your birthday is in your user profile so you do not prefer to provide it.",book_reservation,c3a8bb7faf856cba,source_backed_literal_task
